# MPS 3D Wetting - Initial Particle Configuration
# Fluid block: nx=21, ny=21, nz=21, l0=0.0001 m
# Wall layers=4, Dummy layers=4 (bottom only, XZ plane)
# Wetting angle: 90.0 deg
# Fluid: 9261, Wall: 5476, Dummy: 5476, Total: 20213
20213
# x y z vx vy vz type
-3.00000000e-04 1.80000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-2.00000000e-04 1.80000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-04 1.80000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
0.00000000e+00 1.80000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-04 1.80000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
2.00000000e-04 1.80000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
3.00000000e-04 1.80000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
4.00000000e-04 1.80000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
5.00000000e-04 1.80000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
6.00000000e-04 1.80000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
7.00000000e-04 1.80000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
8.00000000e-04 1.80000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
9.00000000e-04 1.80000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-03 1.80000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-03 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-9.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-8.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-7.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-6.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-5.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-4.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-3.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-2.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
0.00000000e+00 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
2.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
3.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
4.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
5.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
6.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
7.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
8.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
9.00000000e-04 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-03 1.90000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-03 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-9.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-8.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-7.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-6.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-5.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-4.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-3.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-2.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
0.00000000e+00 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
2.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
3.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
4.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
5.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
6.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
7.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
8.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
9.00000000e-04 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-03 2.00000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-03 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-9.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-8.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-7.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-6.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-5.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-4.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-3.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-2.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
0.00000000e+00 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
2.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
3.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
4.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
5.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
6.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
7.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
8.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
9.00000000e-04 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-03 2.10000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-03 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-9.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-8.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-7.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-6.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-5.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-4.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-3.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-2.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
0.00000000e+00 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
2.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
3.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
4.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
5.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
6.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
7.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
8.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
9.00000000e-04 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-03 2.20000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-03 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-9.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-8.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-7.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-6.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-5.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-4.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-3.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-2.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
0.00000000e+00 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
2.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
3.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
4.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
5.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
6.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
7.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
8.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
9.00000000e-04 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-03 2.30000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-03 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-9.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-8.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-7.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-6.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-5.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-4.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-3.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-2.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
0.00000000e+00 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
2.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
3.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
4.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
5.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
6.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
7.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
8.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
9.00000000e-04 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-03 2.40000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-03 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-9.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-8.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-7.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-6.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-5.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-4.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-3.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-2.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
0.00000000e+00 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
2.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
3.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
4.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
5.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
6.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
7.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
8.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
9.00000000e-04 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-03 2.50000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-03 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-9.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-8.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-7.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-6.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-5.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-4.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-3.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-2.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
0.00000000e+00 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
2.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
3.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
4.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
5.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
6.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
7.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
8.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
9.00000000e-04 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-03 2.60000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-03 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-9.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-8.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-7.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-6.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-5.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-4.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-3.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-2.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
0.00000000e+00 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
2.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
3.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
4.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
5.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
6.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
7.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
8.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
9.00000000e-04 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-03 2.70000000e-03 -1.00000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-03 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-9.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-8.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-7.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-6.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-5.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-4.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-3.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-2.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
0.00000000e+00 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
2.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
3.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
4.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
5.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
6.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
7.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
8.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
9.00000000e-04 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-03 7.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-03 8.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-9.00000000e-04 8.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-8.00000000e-04 8.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-7.00000000e-04 8.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-6.00000000e-04 8.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-5.00000000e-04 8.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-4.00000000e-04 8.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-3.00000000e-04 8.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-2.00000000e-04 8.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
-1.00000000e-04 8.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
0.00000000e+00 8.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
1.00000000e-04 8.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
2.00000000e-04 8.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
3.00000000e-04 8.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
4.00000000e-04 8.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
5.00000000e-04 8.00000000e-04 -9.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0
